HAL	0	225	225
MAP	375	675	772.1722606
MEP	450	450	636.3961031
Harker	225	450	503.1152949
Hicks	-450	-225	503.1152949
Hopemen	-600	450	750
Ketler	-225	675	711.5124735
Lincoln	-450	525	691.4658343
Alumni	150	75	167.7050983
Memorial	-450	900	1006.23059
PEW	-600	-450	750
Buhl	-375	75	382.4264635
Crawford	-225	900	927.6987658
Haberson	150	975	986.4709828
Rathburn	450	975	1073.83658
IM Fields	-525	-300	604.6693311
Baseball Field	750	900	1171.537451
Soccer Fields	900	525	1041.933299
Football Field	-300	2025	2047.10161
Appartments	-450	2250	2294.558781
Rockwell	0	450	450
Tennis Courts	75	2175	2176.292719
Softball Field	675	750	1009.021804
QUAD	0	750	750
PLC	375	300	480.2343178
