<m> default.png
<s>	7.74	361	184
<d>	SAC	0	0	0.0
<d>	HAL	201	92	221.05429197371402
<d>	STEM	-208	-131	245.81497106563708
<d>	PLC	-23	-448	448.5900132637819
<d>	MEP	-147	-518	538.4542691817013
<d>	Harker	-247	-394	465.02150487907545
<d>	MAP	-402	-681	790.8002276175697
<d>	Harbison	-681	-696	973.7438061420468
<d>	IM Fields	874	-325	932.4703748645315
<d>	Rockwell	-332	-201	388.1043674065006
<d>	Buhl	-356	294	461.70553386330556
<d>	Pew	185	665	690.253576593414
<d>	Hicks	-147	495	516.3661491616197
<d>	Zerbe	-828	216	855.7102313283393
<d>	Hopeman	-634	263	686.3854602189647
<d>	Lincoln	-704	69	707.3733102118003
<d>	Ketler	-704	-178	726.1542535852833
<d>	Quad	-657	-394	766.084199027757
<d>	Apartments	-2143	-743	2268.148584198134
<d>	Football Field	-1733	-704	1870.5360194340017
<d>	Tennis Courts	-1834	-1060	2118.2908204493547
<d>	Softball Fields	-232	-1114	1137.901577466171
<d>	Soccer Field	178	-1122	1136.0316896988393
<d>	HOYT	-232	92	249.57563983690395
<d>	Memorial	-1075	-61	1076.729306743343
